street,x,project,y,rentalMedian.refPeriod,rentalMedian.psf75,rentalMedian.median,rentalMedian.psf25,rentalMedian.district
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2020Q3,2.01,1.93,1.84,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2019Q3,2.1,1.93,1.78,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2020Q1,1.94,1.91,1.82,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2019Q4,2.13,1.95,1.86,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2021Q4,2.4,2.17,1.98,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2021Q2,2.28,2.06,1.86,23
HILLVIEW AVENUE,19735.41158,MERAWOODS,37530.81327,2022Q1,2.43,2.07,1.94,23
ELLIOT ROAD,38863.89629,ELLIOT AT THE EAST COAST,32538.81136,2020Q1,3.0,2.73,2.52,15
ELLIOT ROAD,38863.89629,ELLIOT AT THE EAST COAST,32538.81136,2021Q3,3.09,2.78,2.62,15
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2019Q4,3.91,3.39,3.07,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2020Q2,3.95,3.14,2.99,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2020Q3,3.8,3.23,3.02,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2019Q3,4.0,3.57,3.04,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2020Q1,3.95,3.08,2.88,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2021Q2,3.68,3.29,3.13,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2021Q3,4.24,3.65,3.23,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2021Q4,4.05,3.65,3.28,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2022Q2,4.87,4.42,3.86,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2021Q1,4.21,3.57,3.12,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2020Q4,3.7,3.29,3.04,20
ANG MO KIO AVENUE 2,28117.75127,THE PANORAMA,39714.86481,2022Q1,4.99,4.3,3.54,20
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2020Q4,5.08,4.71,4.58,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2021Q4,5.84,5.54,5.32,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2022Q2,6.32,5.94,5.72,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2021Q2,5.6,5.35,5.0,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2022Q1,5.75,5.55,5.07,03
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,2021Q1,5.09,4.82,4.58,03
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2020Q3,4.26,3.89,3.6,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2019Q3,4.79,4.62,3.84,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2020Q1,4.26,4.06,3.83,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2019Q4,4.32,4.06,3.95,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2020Q2,4.4,4.18,4.06,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2020Q4,4.18,3.88,3.63,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2021Q4,4.34,4.18,4.02,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2022Q2,4.51,4.14,3.94,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2021Q2,4.06,3.83,3.61,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2021Q3,4.06,3.84,3.62,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2022Q1,4.26,4.05,3.91,09
MOUNT SOPHIA,29451.5052,8 @ MOUNT SOPHIA,31443.52543,2021Q1,3.96,3.8,3.54,09
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2019Q3,2.01,1.96,1.91,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2020Q1,1.91,1.84,1.78,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2019Q4,1.94,1.91,1.86,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2020Q3,1.97,1.87,1.79,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2020Q2,2.09,1.94,1.8,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2020Q4,1.9,1.88,1.77,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2021Q4,2.31,2.2,2.09,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2021Q2,2.06,1.97,1.89,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2021Q3,2.05,2.01,1.88,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2022Q1,2.51,2.17,2.05,17
FLORA DRIVE,42697.31229,DAHLIA PARK CONDOMINIUM,37887.90484,2021Q1,2.0,1.94,1.86,17
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2019Q4,2.2,2.12,2.03,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2020Q2,2.26,2.11,2.01,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2019Q3,2.18,2.06,1.93,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2020Q1,2.28,2.13,1.96,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2020Q3,2.2,2.12,1.99,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2020Q4,2.23,2.13,1.99,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2021Q2,2.32,2.2,2.07,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2021Q3,2.46,2.23,2.04,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2021Q4,2.45,2.25,2.14,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2022Q2,2.84,2.61,2.36,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2022Q1,2.61,2.38,2.24,21
TOH TUCK ROAD,20707.31208,SIGNATURE PARK,35939.54394,2021Q1,2.24,2.11,1.96,21
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2019Q3,4.54,4.27,3.88,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2020Q1,4.49,4.34,4.17,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2020Q3,4.4,4.15,3.81,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2020Q2,4.69,4.37,4.15,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2020Q4,4.3,4.18,3.86,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2021Q4,4.36,4.29,3.9,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2022Q2,4.72,4.42,4.34,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2021Q2,4.43,4.32,4.13,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2021Q3,4.62,4.33,4.23,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2022Q1,4.5,4.43,4.31,10
GRANGE ROAD,27177.82189,CLIVEDEN AT GRANGE,31352.48289,2021Q1,4.31,4.08,3.75,10
AVA ROAD,30059.9759,AVA TOWERS,33837.47233,2020Q1,2.38,2.31,2.21,12
AVA ROAD,30059.9759,AVA TOWERS,33837.47233,2022Q2,2.68,2.57,2.28,12
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2019Q4,3.55,3.46,3.4,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2020Q2,3.55,3.46,3.2,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2020Q3,3.61,3.46,3.32,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2019Q3,3.64,3.46,3.35,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2020Q1,3.61,3.46,3.09,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2021Q2,3.79,3.61,3.48,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2021Q3,3.81,3.61,3.43,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2021Q4,3.97,3.78,3.5,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2022Q2,4.31,4.1,3.66,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2021Q1,3.65,3.52,3.38,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2020Q4,3.7,3.55,3.35,04
OCEAN DRIVE,29146.11921,THE COAST AT SENTOSA COVE,25329.21211,2022Q1,4.4,3.79,3.48,04
MEYER ROAD,35104.98234,AALTO,31226.58816,2020Q3,3.51,3.43,3.22,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2019Q3,3.62,3.57,3.33,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2020Q1,3.55,3.43,3.23,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2019Q4,3.6,3.5,3.36,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2021Q4,4.06,3.8,3.55,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2021Q2,3.76,3.5,3.43,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2021Q3,3.7,3.62,3.4,15
MEYER ROAD,35104.98234,AALTO,31226.58816,2021Q1,3.65,3.47,3.34,15
