street,x,project,y,marketSegment,transaction.area,transaction.floorRange,transaction.noOfUnits,transaction.contractDate,transaction.typeOfSale,transaction.price,transaction.propertyType,transaction.district,transaction.typeOfArea,transaction.tenure,transaction.nettPrice
ZEHNDER ROAD,22734.9253,LANDED HOUSING DEVELOPMENT,29502.42071,RCR,524.3,-,1,0220,3,5500000,Semi-detached,05,Land,Freehold,
ZEHNDER ROAD,22734.9253,LANDED HOUSING DEVELOPMENT,29502.42071,RCR,308,-,1,0918,3,5000000,Semi-detached,05,Land,Freehold,
ZEHNDER ROAD,22734.9253,LANDED HOUSING DEVELOPMENT,29502.42071,RCR,314,-,1,0618,3,4750000,Semi-detached,05,Land,Freehold,
ZEHNDER ROAD,22734.9253,LANDED HOUSING DEVELOPMENT,29502.42071,RCR,308,-,1,0921,3,5200000,Semi-detached,05,Land,Freehold,
NEO PEE TECK LANE,20914.1988965525,LANDED HOUSING DEVELOPMENT,30589.1070785135,RCR,159.3,-,1,0320,3,2630000,Terrace,05,Land,Freehold,
NEO PEE TECK LANE,20914.1988965525,LANDED HOUSING DEVELOPMENT,30589.1070785135,RCR,257,-,1,0522,3,4600000,Terrace,05,Land,Freehold,
NEO PEE TECK LANE,20914.1988965525,LANDED HOUSING DEVELOPMENT,30589.1070785135,RCR,186,-,1,0321,3,1880000,Strata Terrace,05,Strata,Freehold,
COVE DRIVE,28382.47067,TURQUOISE,25008.33592,CCR,223,01-05,1,0118,3,3580000,Condominium,04,Strata,99 yrs lease commencing from 2007,
COVE DRIVE,28382.47067,TURQUOISE,25008.33592,CCR,224,01-05,1,0318,3,3600000,Condominium,04,Strata,99 yrs lease commencing from 2007,
COVE DRIVE,28382.47067,TURQUOISE,25008.33592,CCR,226,01-05,1,0219,3,3450000,Condominium,04,Strata,99 yrs lease commencing from 2007,
COVE DRIVE,28382.47067,TURQUOISE,25008.33592,CCR,194,01-05,1,0718,3,3100000,Condominium,04,Strata,99 yrs lease commencing from 2007,
COVE DRIVE,28382.47067,TURQUOISE,25008.33592,CCR,224,01-05,1,1117,3,3700000,Condominium,04,Strata,99 yrs lease commencing from 2007,
COVE DRIVE,28382.47067,TURQUOISE,25008.33592,CCR,194,01-05,1,0220,3,2800000,Condominium,04,Strata,99 yrs lease commencing from 2007,
COVE DRIVE,28382.47067,TURQUOISE,25008.33592,CCR,226,01-05,1,0118,3,3590000,Condominium,04,Strata,99 yrs lease commencing from 2007,
COVE DRIVE,28382.47067,TURQUOISE,25008.33592,CCR,348,06-10,1,0918,3,4400000,Condominium,04,Strata,99 yrs lease commencing from 2007,
COVE DRIVE,28382.47067,TURQUOISE,25008.33592,CCR,194,01-05,1,1020,3,3180000,Condominium,04,Strata,99 yrs lease commencing from 2007,
