town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,_id,block
ANG MO KIO,2 ROOM,Improved,44,ANG MO KIO AVE 10,232000,2017-01,61 years 04 months,1979,10 TO 12,1,406
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 4,250000,2017-01,60 years 07 months,1978,01 TO 03,2,108
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 5,262000,2017-01,62 years 05 months,1980,01 TO 03,3,602
ANG MO KIO,3 ROOM,New Generation,68,ANG MO KIO AVE 10,265000,2017-01,62 years 01 month,1980,04 TO 06,4,465
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 5,265000,2017-01,62 years 05 months,1980,01 TO 03,5,601
ANG MO KIO,3 ROOM,New Generation,68,ANG MO KIO AVE 5,275000,2017-01,63 years,1981,01 TO 03,6,150
ANG MO KIO,3 ROOM,New Generation,68,ANG MO KIO AVE 10,280000,2017-01,61 years 06 months,1979,04 TO 06,7,447
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 1,285000,2017-01,58 years 04 months,1976,04 TO 06,8,218
ANG MO KIO,3 ROOM,New Generation,68,ANG MO KIO AVE 10,285000,2017-01,61 years 06 months,1979,04 TO 06,9,447
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 3,285000,2017-01,61 years 04 months,1979,01 TO 03,10,571
ANG MO KIO,3 ROOM,New Generation,68,ANG MO KIO AVE 10,288500,2017-01,62 years 01 month,1980,01 TO 03,11,534
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 3,295000,2017-01,59 years 08 months,1977,10 TO 12,12,233
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 3,295000,2017-01,59 years 08 months,1977,04 TO 06,13,235
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 1,297000,2017-01,59 years 06 months,1977,07 TO 09,14,219
ANG MO KIO,3 ROOM,New Generation,68,ANG MO KIO AVE 10,298000,2017-01,62 years 01 month,1980,07 TO 09,15,536
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 3,298000,2017-01,60 years,1978,04 TO 06,16,230
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 3,300000,2017-01,61 years 04 months,1979,10 TO 12,17,570
ANG MO KIO,3 ROOM,New Generation,68,ANG MO KIO AVE 4,301000,2017-01,62 years 08 months,1980,04 TO 06,18,624
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 10,306000,2017-01,61 years,1979,07 TO 09,19,441
ANG MO KIO,3 ROOM,New Generation,68,ANG MO KIO AVE 9,312000,2017-01,62 years 08 months,1980,04 TO 06,20,625
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 3,312000,2017-01,60 years 10 months,1978,07 TO 09,21,119
ANG MO KIO,3 ROOM,New Generation,73,ANG MO KIO AVE 4,321000,2017-01,59 years 06 months,1977,04 TO 06,22,255
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 10,325000,2017-01,61 years,1979,10 TO 12,23,432
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 3,325000,2017-01,59 years 03 months,1977,01 TO 03,24,211
ANG MO KIO,3 ROOM,New Generation,67,ANG MO KIO AVE 3,328000,2017-01,61 years 05 months,1979,04 TO 06,25,584
ANG MO KIO,3 ROOM,New Generation,74,ANG MO KIO AVE 4,330000,2017-01,60 years 04 months,1978,07 TO 09,26,118
